0	40	2
0	60	3
0	80	1
0	100	1
0	120	1
0	140	1
0	160	4
0	180	3
40	0	1
40	20	1
40	60	3
40	80	1
40	100	1
40	120	1
40	140	1
40	160	1
40	220	1
40	260	2
360	40	2
360	60	3
360	80	1
360	100	1
360	120	1
360	140	1
360	160	1
360	180	3
320	0	1
320	20	1
320	60	3
320	80	1
320	100	1
320	120	1
320	140	1
320	160	1
320	220	1
320	260	2
120	0	1
120	20	1
120	40	1
120	100	2
120	120	2
120	180	1
120	200	3
120	220	1
120	260	3
80	0	1
80	20	1
80	80	1
80	100	1
80	120	1
80	140	1
80	200	1
80	220	1
80	260	3
240	0	1
240	20	1
240	40	1
240	100	2
240	120	2
240	180	1
240	200	1
240	220	1
240	260	3
280	0	1
280	20	1
280	80	1
280	100	1
280	120	1
280	140	1
280	200	3
280	220	1
280	260	2
160	0	1
160	20	1
160	40	1
160	60	2
160	160	2
160	180	1
160	200	1
160	220	1
160	260	2
200	0	1
200	20	1
200	40	1
200	60	2
200	160	2
200	180	1
200	200	1
200	220	1
200	260	3
