710
0
1
0	20	1
0	40	1
0	180	1
0	200	1
0	220	1
0	240	1
0	260	3
40	20	1
40	40	1
40	60	1
40	220	1
40	240	1
40	260	3
80	20	1
80	40	1
80	60	1
80	80	1
80	240	1
80	260	1
120	40	1
120	220	1
200	60	1
200	100	1
200	120	3
200	140	3
200	160	3
200	180	1
200	260	3
240	40	1
240	60	1
240	80	1
240	100	1
240	120	1
240	140	1
240	160	1
240	180	1
240	200	1
240	220	1
240	240	2
240	260	3
280	180	2
280	200	2
280	220	2
280	240	2
280	260	2
320	20	1
320	40	1
320	60	1
320	80	1
320	100	1
320	120	1
320	140	1
320	160	1
320	180	1
320	200	1
320	220	1
320	240	2
320	260	3
360	20	1
360	40	1
360	60	1
360	80	1
360	100	1
360	120	3
360	140	3
360	160	3
360	180	1
360	200	1
360	220	1
360	240	2
360	260	3
