0
3
4
0	260	3
40	0	4
40	20	3
40	40	3
40	60	2
40	120	1
40	140	1
40	160	1
40	180	1
40	240	1
40	260	3
80	0	1
80	20	1
80	40	1
80	60	2
80	120	1
80	140	1
80	160	1
80	180	1
80	240	2
80	260	3
120	240	1
120	260	1
160	0	1
160	20	1
160	40	1
160	60	2
160	100	3
160	120	1
160	140	1
160	160	1
160	180	1
160	240	2
160	260	3
200	0	1
200	20	1
200	40	1
200	60	2
200	100	3
200	120	1
200	140	1
200	160	1
200	180	1
200	240	2
200	260	3
240	240	1
240	260	3
280	0	1
280	20	1
280	40	1
280	60	2
280	120	1
280	140	1
280	160	1
280	180	1
280	240	2
280	260	3
320	0	1
320	20	3
320	40	3
320	60	2
320	120	1
320	140	1
320	160	1
320	180	1
320	240	1
320	260	3
360	260	3
